Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
ZywOo,21169,41.4,15334,1.38,88.6,3.6,949,24924,0.85,0.13,0.62,0.10,0.12,74.9,1.46,1.33
s1mple,34043,41.3,25403,1.34,86.4,2.3,1508,39800,0.86,0.10,0.64,0.08,0.11,74.1,1.36,1.25
sh1ro,16875,27.9,11681,1.44,78.6,3.9,825,21907,0.77,0.11,0.53,0.08,0.11,76.2,1.21,1.26
Kaze,16410,30.3,12451,1.32,80.5,2.9,801,20911,0.78,0.11,0.60,0.08,0.10,73.7,1.24,1.19
degster,13364,34.7,10290,1.30,79.4,3.0,640,17009,0.79,0.09,0.60,0.07,0.10,72.4,1.26,1.21
sterling,16295,31.4,12323,1.32,78.7,4.0,813,20829,0.78,0.10,0.59,0.08,0.11,73.6,1.20,1.21
smooya,16576,27.4,13183,1.26,78.9,2.4,803,21204,0.78,0.10,0.62,0.08,0.10,71.3,1.27,1.19
torzsi,8277,29.3,6589,1.26,79.2,2.5,393,10525,0.79,0.09,0.63,0.09,0.11,71.4,1.23,1.19
XANTARES,35954,53.3,29974,1.20,89.1,4.4,1681,44213,0.81,0.15,0.68,0.10,0.10,72.2,1.34,1.17
device,36293,35.0,29085,1.25,80.3,4.3,1793,46666,0.78,0.13,0.62,0.07,0.08,71.2,1.28,1.16
SENSEi,7901,31.5,5954,1.33,75.6,2.5,401,10605,0.75,0.08,0.56,0.07,0.09,73.1,1.18,1.20
NiKo,33264,50.5,27840,1.19,86.1,4.2,1571,41652,0.80,0.13,0.67,0.08,0.10,71.1,1.31,1.16
BnTeT,19744,39.8,15976,1.24,83.4,5.1,984,25640,0.77,0.15,0.62,0.10,0.12,74.6,1.16,1.16
coldzera,27748,49.5,22085,1.26,79.6,2.4,1378,35945,0.77,0.11,0.61,0.08,0.10,73.6,1.10,1.16
XigN,13728,52.3,11369,1.21,83.0,2.7,675,17449,0.79,0.13,0.65,0.09,0.10,73.4,1.24,1.15
Sico,16472,35.0,12795,1.29,79.4,7.0,860,21822,0.75,0.14,0.59,0.09,0.10,74.1,1.18,1.15
KSCERATO,16528,49.8,12945,1.28,79.5,5.3,859,22319,0.74,0.13,0.58,0.08,0.10,75.2,1.09,1.19
blameF,16185,39.5,12921,1.25,85.2,6.9,797,21313,0.76,0.14,0.61,0.07,0.09,74.0,1.21,1.22
Benkai,12164,46.7,10118,1.20,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.10,71.7,1.25,1.14
XELLOW,20716,41.1,17551,1.18,81.0,1.8,1006,26393,0.78,0.11,0.66,0.09,0.11,70.7,1.28,1.14
Jame,21580,25.2,16489,1.31,73.4,3.9,1131,29957,0.72,0.09,0.55,0.07,0.09,73.8,1.13,1.18
Texta,12510,40.3,10760,1.16,87.1,3.6,625,15713,0.80,0.18,0.68,0.10,0.13,73.3,1.29,1.21
mhL,8942,28.3,7418,1.21,80.0,3.9,435,11677,0.77,0.12,0.64,0.10,0.11,70.8,1.22,1.17
